Hour_Index,Representative_DateTime_Local,Month,Day,Hour_Start,TMY_EPW_Hour,TMY_SourceYear,SeaWater_Temperature_C,Salinity_CMEMS_native,Temperature_Source,Salinity_Source,Original_CMEMS_UTC,Reference_Salinity_g_kg,Absolute_Salinity_g_kg,Conservative_Temperature_C,SeaPressure_dbar,SeaWater_Density_TEOS10_kg_m3,Cf_kg_m3,Cf_Conversion_Method
1,2025-01-01 00:00:00,1,1,0,1,2013,19.8898029327393,39.5500946044922,Copernicus,Copernicus,2025-12-31 21:00:00,39.7365902505929,39.7368837429389,19.7390073188647,10.6150989269119,1028.31317539789,40.8619611021181,TEOS10_SP_to_SA_rho
2,2025-01-01 01:00:00,1,1,1,2,2013,19.8674488067627,39.5505485534668,Copernicus,Copernicus,2025-12-31 22:00:00,39.7370463401315,39.7373398358461,19.7167414566471,10.6150989269119,1028.31955504428,40.8626836186406,TEOS10_SP_to_SA_rho
3,2025-01-01 02:00:00,1,1,2,3,2013,19.8454971313477,39.5510139465332,Copernicus,Copernicus,2025-12-31 23:00:00,39.7375139277257,39.7378074268939,19.694875945703,10.6150989269119,1028.32583084947,40.8634138383969,TEOS10_SP_to_SA_rho
4,2025-01-01 03:00:00,1,1,3,4,2013,19.824499130249,39.5520324707031,Copernicus,Copernicus,2026-01-01 00:00:00,39.7385372546736,39.7388307614,19.6739423046619,10.6150989269119,1028.33226839458,40.8647219802186,TEOS10_SP_to_SA_rho
5,2025-01-01 04:00:00,1,1,4,5,2013,19.8040390014648,39.5523834228516,Copernicus,Copernicus,2026-01-01 01:00:00,39.7388898617118,39.7391833710425,19.653565322603,10.6150989269119,1028.33804745863,40.8653142353782,TEOS10_SP_to_SA_rho
6,2025-01-01 05:00:00,1,1,5,6,2013,19.7843856811523,39.5525894165039,Copernicus,Copernicus,2026-01-01 02:00:00,39.7390968267125,39.7393903375719,19.6339961058127,10.6150989269119,1028.34349521722,40.8657435575399,TEOS10_SP_to_SA_rho
7,2025-01-01 06:00:00,1,1,6,7,2013,19.7654209136963,39.552661895752,Copernicus,Copernicus,2026-01-01 03:00:00,39.7391696477312,39.7394631591285,19.6151165631702,10.6150989269119,1028.34865259727,40.8660233946286,TEOS10_SP_to_SA_rho
8,2025-01-01 07:00:00,1,1,7,8,2013,19.747013092041,39.5525970458984,Copernicus,Copernicus,2026-01-01 04:00:00,39.7391044920829,39.7393980029989,19.5967957995357,10.6150989269119,1028.35355236947,40.8661511054082,TEOS10_SP_to_SA_rho
9,2025-01-01 08:00:00,1,1,8,9,2013,19.7295227050781,39.5524139404297,Copernicus,Copernicus,2026-01-01 05:00:00,39.7389205231934,39.7392140327506,19.5793920205736,10.6150989269119,1028.35811250641,40.8661431352075,TEOS10_SP_to_SA_rho
10,2025-01-01 09:00:00,1,1,9,10,2013,19.7161865234375,39.5521354675293,Copernicus,Copernicus,2026-01-01 06:00:00,39.7386407371739,39.7389342446646,19.5661262891532,10.6150989269119,1028.36148172861,40.865989302159,TEOS10_SP_to_SA_rho
11,2025-01-01 10:00:00,1,1,10,11,2013,19.7091312408447,39.5518493652344,Copernicus,Copernicus,2026-01-01 07:00:00,39.738353285784,39.7386467911517,19.5591126637197,10.6150989269119,1028.36315750016,40.8657602889322,TEOS10_SP_to_SA_rho
12,2025-01-01 11:00:00,1,1,11,12,2013,19.7080192565918,39.5515899658203,Copernicus,Copernicus,2026-01-01 08:00:00,39.7380926631906,39.7383861666333,19.5580140046994,10.6150989269119,1028.36325780047,40.8654962580522,TEOS10_SP_to_SA_rho
13,2025-01-01 12:00:00,1,1,12,13,2013,19.7109298706055,39.551383972168,Copernicus,Copernicus,2026-01-01 09:00:00,39.7378856981899,39.7381792001039,19.5609176542422,10.6150989269119,1028.36231892173,40.8652461119462,TEOS10_SP_to_SA_rho
14,2025-01-01 13:00:00,1,1,13,14,2013,19.7136363983154,39.5512924194336,Copernicus,Copernicus,2026-01-01 10:00:00,39.7377937137451,39.7380872149798,19.5636145538968,10.6150989269119,1028.36152223433,40.8651198590773,TEOS10_SP_to_SA_rho
15,2025-01-01 14:00:00,1,1,14,15,2013,19.7132015228271,39.5513572692871,Copernicus,Copernicus,2026-01-01 11:00:00,39.7378588693935,39.7381523711094,19.5631796435545,10.6150989269119,1028.36168856517,40.8651934728139,TEOS10_SP_to_SA_rho
16,2025-01-01 15:00:00,1,1,15,16,2013,19.7071075439453,39.5516014099121,Copernicus,Copernicus,2026-01-01 12:00:00,39.7381041612462,39.7383976647738,19.5571061483196,10.6150989269119,1028.36351131208,40.8655181564625,TEOS10_SP_to_SA_rho
17,2025-01-01 16:00:00,1,1,16,17,2013,19.6933422088623,39.5519905090332,Copernicus,Copernicus,2026-01-01 13:00:00,39.7384950951364,39.7387886015514,19.5433922391483,10.6150989269119,1028.36750340106,40.8660788223601,TEOS10_SP_to_SA_rho
18,2025-01-01 17:00:00,1,1,17,18,2013,19.6709671020508,39.5525512695312,Copernicus,Copernicus,2026-01-01 14:00:00,39.7390584998605,39.7393520104368,19.5211030830639,10.6150989269119,1028.37393430405,40.8669137736666,TEOS10_SP_to_SA_rho
19,2025-01-01 18:00:00,1,1,18,19,2013,19.6417102813721,39.5533294677734,Copernicus,Copernicus,2026-01-01 15:00:00,39.7398403676409,39.7401338839921,19.4919574166452,10.6150989269119,1028.38237129482,40.8680531191935,TEOS10_SP_to_SA_rho
20,2025-01-01 19:00:00,1,1,19,20,2013,19.6071128845215,39.5543479919434,Copernicus,Copernicus,2026-01-01 16:00:00,39.7408636945888,39.7411572184982,19.4574886490509,10.6150989269119,1028.39241446559,40.8695046255879,TEOS10_SP_to_SA_rho
21,2025-01-01 20:00:00,1,1,20,21,2013,19.5658435821533,39.5556221008301,Copernicus,Copernicus,2026-01-01 17:00:00,39.742143811445,39.7424373448092,19.4163713223238,10.6150989269119,1028.40442683309,40.8712984985385,TEOS10_SP_to_SA_rho
22,2025-01-01 21:00:00,1,1,21,22,2013,19.5176830291748,39.5572052001953,Copernicus,Copernicus,2026-01-01 18:00:00,39.7437343758022,39.7440279209143,19.3683856633191,10.6150989269119,1028.41850101928,40.8734936188951,TEOS10_SP_to_SA_rho
23,2025-01-01 22:00:00,1,1,22,23,2013,19.4656867980957,39.558967590332,Copernicus,Copernicus,2026-01-01 19:00:00,39.7455050763637,39.7457986345541,19.3165772761398,10.6150989269119,1028.43371551162,40.8759193657113,TEOS10_SP_to_SA_rho
24,2025-01-01 23:00:00,1,1,23,24,2013,19.4119415283203,39.5607719421387,Copernicus,Copernicus,2026-01-01 20:00:00,39.7473179364624,39.7476115080425,19.2630274621531,10.6150989269119,1028.44940529283,40.8784074172569,TEOS10_SP_to_SA_rho
25,2025-01-02 00:00:00,1,2,0,1,2013,19.3579273223877,39.5625610351562,Copernicus,Copernicus,2026-01-01 21:00:00,39.7491154658203,39.7494090506768,19.2092112154727,10.6150989269119,1028.46513117702,40.8808811935134,TEOS10_SP_to_SA_rho
26,2025-01-02 01:00:00,1,2,1,2,2013,19.3039474487305,39.5643424987793,Copernicus,Copernicus,2026-01-01 22:00:00,39.7509053298078,39.7511989278842,19.155430145298,10.6150989269119,1028.48081820626,40.8833455980302,TEOS10_SP_to_SA_rho
27,2025-01-02 02:00:00,1,2,2,3,2013,19.2511653900146,39.5660934448242,Copernicus,Copernicus,2026-01-01 23:00:00,39.7526645323138,39.7529581433835,19.1028429421361,10.6150989269119,1028.49614091685,40.8857640404989,TEOS10_SP_to_SA_rho
28,2025-01-02 03:00:00,1,2,3,4,2013,19.2006855010986,39.5682411193848,Copernicus,Copernicus,2026-01-02 00:00:00,39.7548223340803,39.7551159610874,19.0525354721512,10.6150989269119,1028.51113582899,40.8885794721512,TEOS10_SP_to_SA_rho
29,2025-01-02 04:00:00,1,2,4,5,2013,19.1535243988037,39.5698127746582,Copernicus,Copernicus,2026-01-02 01:00:00,39.7564014003819,39.756695039052,19.0055495330892,10.6150989269119,1028.52479337684,40.8907465503868,TEOS10_SP_to_SA_rho
30,2025-01-02 05:00:00,1,2,5,6,2013,19.1105785369873,39.5712356567383,Copernicus,Copernicus,2026-01-02 02:00:00,39.7578309919608,39.7581246411898,18.9627639470492,10.6150989269119,1028.53720795778,40.8927105120867,TEOS10_SP_to_SA_rho
31,2025-01-02 06:00:00,1,2,6,7,2013,19.0718383789062,39.5725021362305,Copernicus,Copernicus,2026-01-02 03:00:00,39.7591034434466,39.7593971020738,18.924169312568,10.6150989269119,1028.54838069955,40.8944635069283,TEOS10_SP_to_SA_rho
32,2025-01-02 07:00:00,1,2,7,8,2013,19.0372104644775,39.5736083984375,Copernicus,Copernicus,2026-01-02 04:00:00,39.760214922154,39.7605085889906,18.8896726015888,10.6150989269119,1028.55833727053,40.8960026033226,TEOS10_SP_to_SA_rho
33,2025-01-02 08:00:00,1,2,8,9,2013,19.0070266723633,39.5745697021484,Copernicus,Copernicus,2026-01-02 05:00:00,39.7611807588239,39.7614744327941,18.8596035223087,10.6150989269119,1028.56700567807,40.8973406986841,TEOS10_SP_to_SA_rho
34,2025-01-02 09:00:00,1,2,9,10,2013,18.9842643737793,39.5753898620605,Copernicus,Copernicus,2026-01-02 06:00:00,39.7620047861415,39.7622984661979,18.836924970852,10.6150989269119,1028.57361063134,40.8984509003783,TEOS10_SP_to_SA_rho
35,2025-01-02 10:00:00,1,2,10,11,2013,18.9706497192383,39.5760459899902,Copernicus,Copernicus,2026-01-02 07:00:00,39.7626640079956,39.7629576929209,18.823355402931,10.6150989269119,1028.57768588937,40.8992910079015,TEOS10_SP_to_SA_rho
36,2025-01-02 11:00:00,1,2,11,12,2013,18.9643669128418,39.5765647888184,Copernicus,Copernicus,2026-01-02 08:00:00,39.7631852531825,39.7634789419578,18.8170868062859,10.6150989269119,1028.57973133321,40.8999084869927,TEOS10_SP_to_SA_rho
37,2025-01-02 12:00:00,1,2,12,13,2013,18.9626235961914,39.5769882202148,Copernicus,Copernicus,2026-01-02 09:00:00,39.7636106812395,39.763904373157,18.8153388766858,10.6150989269119,1028.58051274167,40.9003771487526,TEOS10_SP_to_SA_rho
38,2025-01-02 13:00:00,1,2,13,14,2013,18.9626560211182,39.5773429870605,Copernicus,Copernicus,2026-01-02 10:00:00,39.763967120963,39.764260815513,18.8153602821124,10.6150989269119,1028.58077576767,40.9007542374482,TEOS10_SP_to_SA_rho
39,2025-01-02 14:00:00,1,2,14,15,2013,18.9616889953613,39.5776710510254,Copernicus,Copernicus,2026-01-02 11:00:00,39.76429673189,39.7645904288746,18.8143878454461,10.6150989269119,1028.58128053129,40.9011133431342,TEOS10_SP_to_SA_rho
40,2025-01-02 15:00:00,1,2,15,16,2013,18.9578857421875,39.5779876708984,Copernicus,Copernicus,2026-01-02 12:00:00,39.7646148447614,39.7649085440956,18.810593130903,10.6150989269119,1028.58252046013,40.9014898561524,TEOS10_SP_to_SA_rho
41,2025-01-02 16:00:00,1,2,16,17,2013,18.9504547119141,39.5782699584961,Copernicus,Copernicus,2026-01-02 13:00:00,39.7648984634661,39.765192164895,18.80318909506,10.6150989269119,1028.58468533404,40.9018676701764,TEOS10_SP_to_SA_rho
42,2025-01-02 17:00:00,1,2,17,18,2013,18.9394836425781,39.5785255432129,Copernicus,Copernicus,2026-01-02 14:00:00,39.7651552533744,39.7654489566999,18.7922628392166,10.6150989269119,1028.58775732182,40.9022539612673,TEOS10_SP_to_SA_rho
43,2025-01-02 18:00:00,1,2,18,19,2013,18.9280910491943,39.578742980957,Copernicus,Copernicus,2026-01-02 15:00:00,39.7653737164307,39.7656674213698,18.780918278724,10.6150989269119,1028.59090956908,40.9026040225685,TEOS10_SP_to_SA_rho
44,2025-01-02 19:00:00,1,2,19,20,2013,18.9199161529541,39.5788421630859,Copernicus,Copernicus,2026-01-02 16:00:00,39.7654733662458,39.7657670719209,18.7727796052744,10.6150989269119,1028.59312732913,40.902794713149,TEOS10_SP_to_SA_rho
45,2025-01-02 20:00:00,1,2,20,21,2013,18.91455078125,39.5788421630859,Copernicus,Copernicus,2026-01-02 17:00:00,39.7654733662458,39.7657670719209,18.7674400047587,10.6150989269119,1028.59453276591,40.9028506014206,TEOS10_SP_to_SA_rho
46,2025-01-02 21:00:00,1,2,21,22,2013,18.9109153747559,39.578784942627,Copernicus,Copernicus,2026-01-02 18:00:00,39.7654158759678,39.7657095812183,18.7638238116404,10.6150989269119,1028.59544110869,40.9028275876933,TEOS10_SP_to_SA_rho
47,2025-01-02 22:00:00,1,2,22,23,2013,18.9084186553955,39.578685760498,Copernicus,Copernicus,2026-01-02 19:00:00,39.7653162261527,39.7656099306672,18.7613421185699,10.6150989269119,1028.5960190353,40.9027480691949,TEOS10_SP_to_SA_rho
48,2025-01-02 23:00:00,1,2,23,24,2013,18.9063777923584,39.5785636901855,Copernicus,Copernicus,2026-01-02 20:00:00,39.7651935802264,39.765487283835,18.7593147913021,10.6150989269119,1028.5964600216,40.9026394511865,TEOS10_SP_to_SA_rho
49,2025-01-03 00:00:00,1,3,0,1,2013,18.9045219421387,39.578426361084,Copernicus,Copernicus,2026-01-02 21:00:00,39.7650556035592,39.7653493061488,18.7574720541729,10.6150989269119,1028.59684084872,40.9025126715504,TEOS10_SP_to_SA_rho
50,2025-01-03 01:00:00,1,3,1,2,2013,18.9027328491211,39.5782737731934,Copernicus,Copernicus,2026-01-02 22:00:00,39.7649022961513,39.7651959976085,18.7556962196078,10.6150989269119,1028.59719248745,40.9023689618532,TEOS10_SP_to_SA_rho
51,2025-01-03 02:00:00,1,3,2,3,2013,18.9017276763916,39.5780754089355,Copernicus,Copernicus,2026-01-02 23:00:00,39.764702996521,39.7649966965062,18.7547019366645,10.6150989269119,1028.59730381827,40.9021683883688,TEOS10_SP_to_SA_rho
52,2025-01-03 03:00:00,1,3,3,4,2013,18.9030494689941,39.580005645752,Copernicus,Copernicus,2026-01-03 00:00:00,39.7666423352312,39.7669360495403,18.7559584098388,10.6150989269119,1028.59843529194,40.9042081969116,TEOS10_SP_to_SA_rho
53,2025-01-03 04:00:00,1,3,4,5,2013,18.9059104919434,39.579704284668,Copernicus,Copernicus,2026-01-03 01:00:00,39.7663395531006,39.7666332651733,18.7588148873572,10.6150989269119,1028.59745547589,40.9038577894002,TEOS10_SP_to_SA_rho
54,2025-01-03 05:00:00,1,3,5,6,2013,18.912088394165,39.5792503356934,Copernicus,Copernicus,2026-01-03 02:00:00,39.765883463562,39.7661771722661,18.7649769727734,10.6150989269119,1028.5954901372,40.9033104993898,TEOS10_SP_to_SA_rho
55,2025-01-03 06:00:00,1,3,6,7,2013,18.9206638336182,39.5786972045898,Copernicus,Copernicus,2026-01-03 03:00:00,39.7653277242083,39.7656214288077,18.7735281266595,10.6150989269119,1028.59282050021,40.902632704401,TEOS10_SP_to_SA_rho
56,2025-01-03 07:00:00,1,3,7,8,2013,18.9308738708496,39.5780487060547,Copernicus,Copernicus,2026-01-03 04:00:00,39.7646761677246,39.7649698675117,18.7837089741535,10.6150989269119,1028.58964891684,40.9018363952125,TEOS10_SP_to_SA_rho
57,2025-01-03 08:00:00,1,3,8,9,2013,18.9422988891602,39.5773773193359,Copernicus,Copernicus,2026-01-03 05:00:00,39.7640016151297,39.7642953099346,18.7950997103282,10.6150989269119,1028.58614045935,40.9010030409314,TEOS10_SP_to_SA_rho
58,2025-01-03 09:00:00,1,3,9,10,2013,18.95534324646,39.5767288208008,Copernicus,Copernicus,2026-01-03 06:00:00,39.7633500586461,39.7636437486386,18.8081013649934,10.6150989269119,1028.5822237753,40.9001771123834,TEOS10_SP_to_SA_rho
59,2025-01-03 10:00:00,1,3,10,11,2013,18.9702625274658,39.5761108398438,Copernicus,Copernicus,2026-01-03 07:00:00,39.762729163644,39.7630228490506,18.8229680792966,10.6150989269119,1028.57783711718,40.8993640393173,TEOS10_SP_to_SA_rho
60,2025-01-03 11:00:00,1,3,11,12,2013,18.9858055114746,39.5755767822266,Copernicus,Copernicus,2026-01-03 08:00:00,39.7621925877162,39.7624862691597,18.8384530024493,10.6150989269119,1028.57334913047,40.8986336716238,TEOS10_SP_to_SA_rho
61,2025-01-03 12:00:00,1,3,12,13,2013,19.0008697509766,39.575138092041,Copernicus,Copernicus,2026-01-03 09:00:00,39.7617518289185,39.7620455071065,18.8534586108959,10.6150989269119,1028.56905787705,40.898009686509,TEOS10_SP_to_SA_rho
62,2025-01-03 13:00:00,1,3,13,14,2013,19.0147247314453,39.574779510498,Copernicus,Copernicus,2026-01-03 10:00:00,39.7613915565098,39.7616852320369,18.867258340338,10.6150989269119,1028.56514380041,40.8974834884365,TEOS10_SP_to_SA_rho
63,2025-01-03 14:00:00,1,3,14,15,2013,19.0267238616943,39.5744705200195,Copernicus,Copernicus,2026-01-03 11:00:00,39.7610811090088,39.7613747822429,18.8792096108218,10.6150989269119,1028.56175391909,40.8970293842582,TEOS10_SP_to_SA_rho
64,2025-01-03 15:00:00,1,3,15,16,2013,19.0359115600586,39.5741882324219,Copernicus,Copernicus,2026-01-03 12:00:00,39.7607974903041,39.7610911614435,18.8883620905814,10.6150989269119,1028.5591225243,40.8966330356229,TEOS10_SP_to_SA_rho
65,2025-01-03 16:00:00,1,3,16,17,2013,19.0418262481689,39.5738754272461,Copernicus,Copernicus,2026-01-03 13:00:00,39.7604832101179,39.760776878936,18.8942581447304,10.6150989269119,1028.55732785549,40.8962384200569,TEOS10_SP_to_SA_rho
66,2025-01-03 17:00:00,1,3,17,18,2013,19.0453033447266,39.5734939575195,Copernicus,Copernicus,2026-01-03 14:00:00,39.7600999415981,39.7603936075854,18.8977303625983,10.6150989269119,1028.55612148325,40.8957962376656,TEOS10_SP_to_SA_rho
67,2025-01-03 18:00:00,1,3,18,19,2013,19.0486850738525,39.5730285644531,Copernicus,Copernicus,2026-01-03 15:00:00,39.7596323540039,39.7599260165376,18.9011102524991,10.6150989269119,1028.55487587724,40.8952657688281,TEOS10_SP_to_SA_rho
68,2025-01-03 19:00:00,1,3,19,20,2013,19.0532341003418,39.5724906921387,Copernicus,Copernicus,2026-01-03 16:00:00,39.759091945391,39.7593856039333,18.9056541046178,10.6150989269119,1028.55326763977,40.8946459822752,TEOS10_SP_to_SA_rho
69,2025-01-03 20:00:00,1,3,20,21,2013,19.0582256317139,39.5719223022461,Copernicus,Copernicus,2026-01-03 17:00:00,39.7585208752965,39.7588145296208,18.9106392993077,10.6150989269119,1028.55151945674,40.8939890962401,TEOS10_SP_to_SA_rho
70,2025-01-03 21:00:00,1,3,21,22,2013,19.0631465911865,39.571346282959,Copernicus,Copernicus,2026-01-03 18:00:00,39.7579421398315,39.7582357898814,18.9155545046523,10.6150989269119,1028.54978380779,40.8933248262616,TEOS10_SP_to_SA_rho
71,2025-01-03 22:00:00,1,3,22,23,2013,19.0678234100342,39.5707931518555,Copernicus,Copernicus,2026-01-03 19:00:00,39.7573864004778,39.757680046423,18.9202260403882,10.6150989269119,1028.54812973591,40.8926874543873,TEOS10_SP_to_SA_rho
72,2025-01-03 23:00:00,1,3,23,24,2013,19.0718574523926,39.5702819824219,Copernicus,Copernicus,2026-01-03 20:00:00,39.7568728206613,39.7571664628132,18.9242565816684,10.6150989269119,1028.54667679468,40.8921014440993,TEOS10_SP_to_SA_rho
73,2025-01-04 00:00:00,1,4,0,1,2013,19.0753002166748,39.5698089599609,Copernicus,Copernicus,2026-01-03 21:00:00,39.7563975676967,39.7566912063385,18.927697495697,10.6150989269119,1028.54540857058,40.8915622002376,TEOS10_SP_to_SA_rho
74,2025-01-04 01:00:00,1,4,1,2,2013,19.0782661437988,39.5693817138672,Copernicus,Copernicus,2026-01-03 22:00:00,39.7559683069545,39.7562619424258,18.930662441067,10.6150989269119,1028.5443008212,40.891076642837,TEOS10_SP_to_SA_rho
75,2025-01-04 02:00:00,1,4,2,3,2013,19.0817489624023,39.5689506530762,Copernicus,Copernicus,2026-01-03 23:00:00,39.7555352135271,39.7558288457996,18.9341419391585,10.6150989269119,1028.54305398515,40.8905816147695,TEOS10_SP_to_SA_rho
