TrainingMode,Hidden,Seed,Threshold,Val_SensitivityValid,Val_SpecificityInvalid,Val_BalancedAccuracy,Val_PrecisionValid,Val_F1Valid,Val_AUROC,SelectionScore,BestEpoch
CpBoundary,12,20260812,0.53,0.978991596638655,1,0.989495798319328,1,0.989384288747346,0.999221910986617,1.0389650127567,44
CpBoundary,12,20260829,0.73,0.983193277310924,1,0.991596638655462,1,0.991525423728813,0.999377528789294,1.0411729098419,65
CpBoundary,12,20260907,0.69,0.983193277310924,1,0.991596638655462,1,0.991525423728813,0.999688764394647,1.0411729098419,37
CpBoundary,20,20260812,0.82,0.978991596638655,1,0.989495798319328,1,0.989384288747346,0.999299719887955,1.0389650127567,49
CpBoundary,20,20260829,0.66,0.983193277310924,1,0.991596638655462,1,0.991525423728813,0.999688764394647,1.0411729098419,41
CpBoundary,20,20260907,0.37,1,0.981481481481482,0.990740740740741,0.99581589958159,0.9979035639413,0.99953314659197,1.04063591893781,26
CpBoundary,16-8,20260812,0.79,0.987394957983193,1,0.993697478991597,1,0.993657505285412,0.999455337690632,1.04338035425587,38
CpBoundary,16-8,20260829,0.9,0.978991596638655,1,0.989495798319328,1,0.989384288747346,0.99953314659197,1.0389650127567,44
CpBoundary,16-8,20260907,0.9,0.983193277310924,1,0.991596638655462,1,0.991525423728813,0.999688764394647,1.0411729098419,62
CpBoundary,24-12,20260812,0.71,0.983193277310924,1,0.991596638655462,1,0.991525423728813,0.999144102085279,1.0411729098419,44
CpBoundary,24-12,20260829,0.9,0.970588235294118,1,0.985294117647059,1,0.985074626865672,0.998832866479925,1.03454784899034,28
CpBoundary,24-12,20260907,0.69,0.987394957983193,1,0.993697478991597,1,0.993657505285412,0.99953314659197,1.04338035425587,46
