State_ID,State_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,Rmax_analytic,R_scan_low,R_scan_high,HasFeasibleBand,Rmin_feasible,Rmax_feasible,FeasibleBandWidth,Rmin_status,Rmax_status,Rmin_lower_invalid_reason,Rmax_upper_invalid_reason,Rmin_P1_MPa,Rmin_P2_MPa,Rmin_Cp_mg_L,Rmin_W_kW,Rmax_P1_MPa,Rmax_P2_MPa,Rmax_Cp_mg_L,Rmax_W_kW,CoarseProbeCount,CoarseValidCount,CoarseValidRuns,NonContiguousCoarse,TotalProbeCount,TotalValidProbeCount,DominantFailureReason,BoundaryStatus,Runtime_s
1,Core3D,49.8578392682523,26.6036461195442,39.6608055397837,0.562449100114148,0.34,0.562249100114148,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,333.2456565
2,Core3D,58.608495871068,34.2557146518047,40.4980062249983,0.520470616872771,0.34,0.520270616872771,1,0.459006774419915,0.520270616872771,0.0612638424528557,Refined_invalid_to_valid,Analytic_R_cap_valid,Product_salinity_max;Recovery_target_mismatch,,5.37460640953006,6.84247860867879,500,100.153589295427,6.39948865367245,7.13404640232132,500,101.588145319488,9,3,1,0,14,7,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,466.6234875
3,Core3D,53.0440673886598,44.1101851327261,38.862190303017,0.571372175385285,0.34,0.571172175385285,1,0.409532255877605,0.556723914423704,0.147191658546099,Refined_invalid_to_valid,Refined_valid_to_invalid,Recovery_target_mismatch,Recovery_target_mismatch,3.46849522071851,6.33254533251386,500,107.561067988853,5.45885268789142,7.12567398611504,499.999999999999,99.106292981229,9,5,1,0,19,9,Product_salinity_max;Recovery_target_mismatch,Mapped,587.1636799
4,Core3D,55.4192663531828,22.4104614560819,41.0265395542541,0.547189502187104,0.34,0.546989502187105,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,232.5181195
5,Core3D,51.8315500463072,33.2448031260277,41.4048697338128,0.542962349342874,0.34,0.542762349342874,1,0.476230953464743,0.505536449268206,0.0293054958034623,Refined_invalid_to_valid,Refined_valid_to_invalid,Product_salinity_max;Recovery_target_mismatch,Product_salinity_max,3.80280987151599,8.1501795897373,500,143.295216032296,4.22713406445667,8.29730214535275,500,138.252971789629,9,1,1,0,19,5,Product_salinity_max;Recovery_target_mismatch,Mapped,513.4482626
6,Core3D,59.6347264642292,25.8856995880624,39.2331963640374,0.511514042380949,0.34,0.511314042380949,1,0.472500704654015,0.511314042380949,0.0388133377269337,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Recovery_target_mismatch,,6.51204081406423,6.7246014260589,499.874288972725,91.8736720072352,6.8809929779128,7.17123481776406,488.499408636304,101.057215704826,9,2,1,0,14,5,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,487.5940039
7,Core3D,54.6431244873972,15.1010641083119,40.1175474649914,0.557345838379984,0.34,0.557145838379984,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,173.0193965
8,Core3D,56.8202936768117,38.3828155307155,39.2906005403694,0.536850445960448,0.34,0.536650445960448,1,0.425266404303163,0.536650445960448,0.111384041657285,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,,4.47762355722566,6.42640204904591,499.999999999997,98.1456358987877,5.99162458143578,7.05911117125378,489.557646447148,100.634457682961,9,5,1,0,14,7,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,335.5750939
9,Core3D,49.3692855714522,40.974169459377,40.2268776914878,0.556124271603488,0.34,0.555924271603488,1,0.525559920909247,0.541585550442319,0.0160256295330713,Refined_invalid_to_valid,Refined_valid_to_invalid,Product_salinity_max,Recovery_target_mismatch,4.10030204985522,7.65397333548375,500,119.683440959246,4.26841186187857,7.79431827426349,499.999999999999,119.863628719554,9,1,1,0,19,6,Product_salinity_max;Recovery_target_mismatch,Mapped,729.6421128
10,Core3D,59.1878126765725,18.1573060056809,39.5567495371009,0.515376369231397,0.34,0.515176369231397,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,331.810265
11,Core3D,52.1835121748797,23.2955184581303,41.2975879789173,0.544161028168522,0.34,0.543961028168522,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,307.9197988
12,Core3D,56.3765813909489,30.1893339320831,38.9663264141213,0.541075731223698,0.34,0.540875731223698,1,0.447499903037682,0.540875731223698,0.0933758281860156,Refined_invalid_to_valid,Analytic_R_cap_valid,Recovery_target_mismatch,,5.0203797085408,6.8733326019348,499.999999999997,100.566428825469,6.58753431012962,7.28284644034719,499.999999999999,101.322212728565,9,4,1,0,14,8,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,356.7407337
13,Core3D,50.9577990629435,19.3439987775256,38.5902623973349,0.574410476007432,0.34,0.574210476007432,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,202.1605704
14,Core3D,60.5993549527112,41.5163347378061,40.9229882362825,0.503371694695494,0.34,0.503171694695494,1,0.440707530319875,0.503171694695494,0.0624641643756186,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,,5.22563992508652,6.36896996929827,500.000000000002,93.4241894960442,5.87702077726663,6.86982489568966,483.956672135872,101.953823804808,9,4,1,0,14,5,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,436.8037254
15,Core3D,54.1472343841406,37.3229500259275,39.9336146154935,0.559400954016832,0.34,0.559200954016832,1,0.436756671108992,0.544644640664152,0.10788796955516,Refined_invalid_to_valid,Refined_valid_to_invalid,Recovery_target_mismatch,Product_salinity_max,3.97859083443487,7.00048197232696,500,116.320082656044,5.58465547675989,7.51558434091593,499.999999999999,107.566968889553,9,4,1,0,19,12,Product_salinity_max;Recovery_target_mismatch,Mapped,434.5429753
16,Core3D,57.4127833422596,29.1986693070818,40.5993488536744,0.531310245283772,0.34,0.531110245283772,1,0.48183963517155,0.531110245283772,0.0492706101122225,Refined_invalid_to_valid,Analytic_R_cap_valid,Product_salinity_max;Recovery_target_mismatch,,5.5817921259731,7.46566990228595,499.999999999999,110.495507305416,6.39227275602684,7.74596288561122,500.000000000001,111.929512006551,9,3,1,0,14,4,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,359.3805912
17,Core3D,50.2355429905447,34.8862581362701,39.0784029009567,0.568956392168082,0.34,0.568756392168082,1,0.448123138485695,0.554459117657577,0.106335979171882,Refined_invalid_to_valid,Refined_valid_to_invalid,Recovery_target_mismatch,Recovery_target_mismatch,3.47909512540892,7.31789883143446,500.000000000002,124.621783874994,4.90180900440561,7.91388031787326,499.999999999999,114.621431048071,9,4,1,0,19,8,Product_salinity_max;Recovery_target_mismatch,Mapped,498.0667534
18,Core3D,58.2307977143353,27.9961332963454,41.4081877699834,0.523846507300904,0.34,0.523646507300904,1,0.504994908903156,0.523646507300904,0.018651598397748,Refined_invalid_to_valid,Analytic_R_cap_valid,Product_salinity_max,,6.05067445622177,7.86106519372741,500,117.044134530738,6.3555182412955,7.98397204255757,500.000000000286,118.061770293668,9,1,1,0,14,4,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,411.6449801
19,QfLowBoundary,47.4737101709428,20.9612699985955,39.399294366017,0.565371012670201,0.34,0.565171012670201,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,301.5225414
20,QfLowBoundary,48.0140697174019,43.774500146987,40.0679466404732,0.557900037536612,0.34,0.557700037536612,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,465.1720704
21,QfLowBoundary,46.8202699588185,24.495330685612,40.4418593551977,0.553722241841367,0.34,0.553522241841367,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,304.0430411
22,QfLowBoundary,49.6684907183279,32.6159205992769,39.7746721141102,0.561176847887037,0.34,0.560976847887037,1,0.47034181262087,0.540260268397628,0.0699184557767579,Refined_invalid_to_valid,Refined_valid_to_invalid,Recovery_target_mismatch,Product_salinity_max;Recovery_target_mismatch,3.53498345976597,7.8740218309714,500.000000000002,135.347397562896,4.45641054608731,8.2968161605433,499.999999999999,127.827108914757,9,3,1,0,19,6,Product_salinity_max;Recovery_target_mismatch,Mapped,428.6219806
23,QfLowBoundary,47.7571868098495,38.7206187908063,41.0350303845492,0.547094632574869,0.34,0.546894632574869,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,379.3544406
24,QfLowBoundary,48.7306212043966,16.5519165235121,38.7008507492081,0.573174851964155,0.34,0.572974851964155,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,213.2252855
25,QfLowBoundary,46.2494847352581,17.7043761600231,40.76215083408,0.550143566099665,0.34,0.549943566099665,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,260.6439727
26,QfHighBoundary,63.4521623907777,39.4077334213823,38.5992553010052,0.480740117446865,0.34,0.480540117446865,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max,No_valid_recovery_in_coarse_scan,269.0861809
27,QfHighBoundary,61.890510006668,31.4645765283761,40.7140865733365,0.492870393162272,0.34,0.492670393162272,1,0.475375700186858,0.492670393162272,0.0172946929754136,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Recovery_target_mismatch,,6.57746902671048,6.63352461027231,499.70911790704,95.6563655381876,6.61701141264879,6.91507617320653,490.133040373476,99.3822646179905,9,1,1,0,14,5,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,452.8751613
28,QfHighBoundary,62.7495148544102,23.808817082677,39.8783389692596,0.486123280327738,0.34,0.485923280327738,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,290.9739223
29,QfHighBoundary,61.3963984945674,43.0843172930331,39.506646550139,0.496836960277061,0.34,0.496636960277061,1,0.415259164508119,0.496636960277061,0.0813777957689421,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Recovery_target_mismatch,,5.1252602930406,5.79188452632662,499.999999999994,81.13823410328,5.64766888989964,6.57426920335436,462.997113622429,98.8471485339475,9,5,1,0,14,7,Product_salinity_max;Recovery_target_mismatch,Mapped,384.0162107
30,QfHighBoundary,63.9928914007475,19.7989324570536,40.3350694552745,0.476677945507611,0.34,0.476477945507611,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,251.5868561
31,QfHighBoundary,62.1935513989682,28.6869171997682,38.9687733164706,0.490468855915922,0.34,0.490268855915922,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,246.7929135
32,QfHighBoundary,63.1964545134403,36.0497112635039,41.1419232814324,0.482685306238383,0.34,0.482485306238383,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,308.3678148
33,LowTemperatureEdge,50.3382533424806,23.4954821492074,41.2541425653194,0.544646451784141,0.34,0.544446451784141,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,350.9330619
34,LowTemperatureEdge,60.7409907527012,16.9317374274412,38.9037522402086,0.502197932927913,0.34,0.501997932927913,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,No_valid_recovery_in_coarse_scan,313.7720656
35,LowTemperatureEdge,53.8550640694222,18.7543806378095,40.2682116913073,0.555662439203271,0.34,0.555462439203271,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,182.1954599
36,LowTemperatureEdge,57.2278101791279,21.1038482612277,39.619970278671,0.533027559581956,0.34,0.532827559581956,1,0.506464416670361,0.532827559581956,0.0263631429115956,Refined_invalid_to_valid,Analytic_R_cap_valid,Product_salinity_max,,6.50258238733567,7.99875918552537,500.000000000008,114.007645962113,6.95846869876871,8.17523184162766,500.000000000001,116.382517261517,9,2,1,0,14,4,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,421.6789409
37,LowTemperatureEdge,52.3366544709046,15.3189955869371,39.9990327009207,0.558670025688037,0.34,0.558470025688037,0,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,0,0,9,0,Product_salinity_max,No_valid_recovery_in_coarse_scan,187.1329341
38,HighTemperatureEdge,62.492541316478,43.8345879622206,40.6399503533887,0.488122251990362,0.34,0.487922251990362,1,0.42956230100979,0.487922251990362,0.0583599509805725,Refined_invalid_to_valid,Analytic_R_cap_valid,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,,5.40731848726336,5.99633884883563,500.000000000001,85.0644579675772,5.68935466910116,6.63730782737508,469.73514717418,100.887345727331,9,4,1,0,14,6,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,Mapped,390.2852669
