DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,Qp_train_m3h,Recovery_actual,Recovery_error,Cp_mg_L,W_RO_train_kW,SEC_kWh_m3,P1_opt_gauge_MPa,P2_opt_gauge_MPa,Javg_LMH,Jfirst_stage1_LMH,Jfirst_stage2_LMH,Jmax_local_stage1_LMH,Jmax_local_stage2_LMH,CPFmax_stage1,CPFmax_stage2,dP_stage1_MPa,dP_stage2_MPa,Cb_max_kg_m3,Qf_PV_stage1_m3h,Qf_PV_stage2_m3h,Qb_PV_stage1_m3h,Qb_PV_stage2_m3h,Qhpp_m3h,PXout_gauge_MPa,PX_excess_pressure_MPa,PX_booster_deltaP_MPa,PX_leakage_pct,PX_mix_pct,PX_iterations,PhysicalFeasible,RecoveryTargetMet,DatasetValid,FeasibilityMarginScaled,MaxConstraintViolationScaled,ExitFlag,FminconIterations,FminconFunctionCount,LocalStartsAttempted,OptimizerMethod,AnalyticScreenPassed,AnalyticRmax,AnalyticJavgTarget_LMH,RootEvalCountCoarse,RootEvalCountFinal,HybridSeedRankUsed,HybridSeedP1_N30_MPa,HybridSeedP2_N30_MPa,HybridN150SeedTrials,Runtime_s,FailureReason,ErrorMessage
1,ExternalVerification,61.7850809697701,27.8805858638692,38.8160938567939,0.472761877257086,29.2096308654594,0.472761877252389,-4.69779770639889e-12,485.584778603043,95.535280289078,3.2706774258503,6.72899620730194,6.3748220692143,19.1513446534614,34.0579194651395,13.7216296589532,36.4246561847957,15.1691737994846,1.14153775803049,1.07197724739178,0.354174138087718,0.242561448281655,75.2028585050033,12.357016193954,9.65348225222976,7.72278580178381,8.14386252607769,29.5847612352249,6.08351577729947,0,0.645480430002467,1.15157386487146,5.60699428936879,5,0,1,0,-0.0119261088220506,0.0119261088220506,-2,3,10,1,root_seeded_fmincon,1,0.493711419022415,19.1513446536517,34,9,1,6.68542110565532,6.37050696152982,3,38.1441703,Stage1_dP_max,
2,ExternalVerification,58.7974371005889,34.4390408455076,39.8989348377431,0.441569635733629,26.3045259250874,0.447375382707352,0.0058057469737226,500.177734111065,94.5129742013175,3.59303089021565,5.32943467406775,6.57878870139436,17.2466076088955,24.3087521107065,24.3932025224467,26.3881976232429,27.0659444684435,1.08562135918145,1.09686632274604,0.35012046823396,0.251965659371083,73.6622100947593,11.7594874201178,10.7383997796927,8.59071982375418,8.12322779387536,26.68653230966,6.27198540161877,0.94255072755102,0,1.17566069260248,5.59889265524147,5,0,0,0,-0.000355468222130728,0.000355468222130728,-2,2,31,1,root_seeded_fmincon,1,0.518798122915029,17.0227923436782,47,12,1,5.12545002395159,6.61462609039498,4,72.2384119,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
3,ExternalVerification,60.0058862843138,40.1871394475422,40.0453448186944,0.420718696178931,25.8781035182125,0.431259416711212,0.0105407205322814,500.000404483961,89.6464744086638,3.46418254125819,5.11520398866275,6.20775541470673,16.9670230253163,25.3934233900345,24.1978102045697,27.862513449824,27.1891616784257,1.0747863921788,1.07970771229244,0.349999998832836,0.258334499481829,71.7938610286489,12.0011772568628,11.0388512957672,8.83108103661379,8.53194569152533,26.2633851319753,5.90648546381046,0.791281475147707,0,1.12893830930484,5.61461667005063,5,1,0,0,-8.0896792176155e-07,8.0896792176155e-07,-2,3,16,1,root_seeded_fmincon,1,0.508350128443551,16.5523198535259,47,9,1,5.13421792109725,6.02200604400167,3,51.2557196,Recovery_target_mismatch,
4,ExternalVerification,55.6120458393531,30.0222707728981,39.9314729913412,0.529867101824774,29.4669935554444,0.529867101824773,-1.22124532708767e-15,500.000000000001,109.793977713695,3.72599863325414,5.99417439006923,7.67567413110687,19.3200849432497,27.5999614481545,26.746552908272,29.7750133192816,29.8601164904177,1.11757837801725,1.14141638825577,0.307160513400978,0.192614244416581,86.9485065611762,11.1224091678706,9.33669851802733,7.46935881442186,6.53626307097715,29.8117952406792,7.3939122903571,1.39973790028787,0,1.31880281397226,5.55094770174926,5,1,1,1,-2.88657986402541e-15,2.88657986402541e-15,1,3,12,1,root_seeded_fmincon,1,0.548514256931261,19.3200849432497,32,3,1,5.91933746784197,7.68226410652299,3,35.3379547,,
5,ExternalVerification,62.0819056277058,35.9349624555982,41.3512137285483,0.400782553811581,28.3020167210609,0.45588189400601,0.0550993401944294,508.033409374792,89.5482934180118,3.16402517532875,6.14828994704911,6.42974995336129,18.5562658805802,33.2699219201368,16.9859587606522,36.1734211588839,19.1376945192567,1.10854791869379,1.06794754283191,0.350074816274795,0.248925742302125,77.5781147985912,12.4163811255412,10.2135763737624,8.17086109900991,8.44497222666122,28.6930479984695,6.13054997758731,0,0.0177399694617915,1.15758603732912,5.60497117495864,5,0,0,0,-0.016066818749584,0.016066818749584,-2,2,42,1,root_seeded_fmincon,1,0.491350896715818,16.3134963827442,52,12,1,5.97241598273785,5.66988073919877,4,85.2637207,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
6,ExternalVerification,57.2892019197129,29.401660637079,40.3612972207679,0.474223538067099,27.257033584193,0.475779600183503,0.00155606211640441,500.005028662056,108.644458392685,3.98592378209824,5.4901044724841,7.35850648472016,17.8711208918129,22.3030469724775,27.9486201764469,24.0314573197109,30.7187362869784,1.0930801271665,1.1318465085512,0.350000351129994,0.241413942005693,78.6428384576394,11.4578403839426,10.5682485816401,8.45459886531205,7.50804208387999,27.6394920637137,7.03845269054381,1.54834821805971,0,1.27349605678805,5.56608580792503,5,0,0,0,-1.00573241110791e-05,1.00573241110791e-05,-2,3,24,1,root_seeded_fmincon,1,0.532456361370671,17.812672454371,42,9,1,5.93489265898658,6.93574400533507,3,56.0249143,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
7,ExternalVerification,56.7272538176182,32.5540364541043,38.6038221320647,0.494491955718835,28.0511706828328,0.494491955718836,1.66533453693773e-16,500,89.2031454948913,3.18001506972696,5.99558232815886,6.61071997865909,18.3917982447107,30.8549086905145,18.8917586276691,33.3567756707711,21.1719578057873,1.12001511369521,1.09227220188684,0.302204474524844,0.200917494290761,78.0587783914734,11.3454507635236,9.15481140812195,7.32384912649756,7.16902078369635,28.3912499728558,6.35239426102461,0.356811932865759,0,1.1859335475648,5.5954403328073,5,1,1,1,-2.22044604925031e-16,2.22044604925031e-16,1,3,12,1,root_seeded_fmincon,1,0.537730948479761,18.3917982447107,48,3,1,5.87132798571715,6.66086420418969,3,25.7370487,,
8,ExternalVerification,61.4705776610412,41.9941152025036,39.2901360963545,0.467124628342618,28.7144207439162,0.467124628342557,-6.11732886568461e-14,479.697613020839,87.1400280941485,3.03471307574997,5.69305955208637,6.13193330698078,18.826659286596,35.000000000001,18.3604477481467,38.4198757990975,21.0211634886303,1.09698702296547,1.06348791760601,0.325749809265457,0.228204308996649,75.3122746151142,12.2941155322082,10.0190534645546,8.01524277164365,8.18903922928127,29.0823646437952,5.86225798112474,0.169198429038374,0,1.12328164995044,5.61652285876961,5,1,1,1,-2.7203636169101e-14,2.7203636169101e-14,1,3,12,1,root_seeded_fmincon,1,0.496237405937586,18.8266592865984,49,12,1,5.09788718397133,6.48429608606165,4,46.4402493,,
9,ExternalVerification,58.4034559376538,42.2883021106527,41.0957126213186,0.451847730521265,26.3894690200275,0.451847730521264,-8.32667268468867e-16,500.000000000001,100.50823914923,3.80864954398862,4.90520031404822,6.63071280429902,17.3023006950089,22.6948375782576,31.1674373745804,25.1032097044022,35.2067101628632,1.06470170201536,1.09721764296196,0.339883430449577,0.243070267736775,76.518099039579,11.6806911875308,11.1512634705689,8.9210107764551,8.00349672940657,26.7682553585871,6.33091916011203,1.42571884606381,0,1.18319014602641,5.5963621139711,5,1,1,1,-2.66453525910038e-15,2.66453525910038e-15,1,4,15,1,root_seeded_fmincon,1,0.522297859095244,17.3023006950089,55,12,1,5.18598798043435,6.41855000096164,4,34.4714594,,
10,ExternalVerification,59.3593363942659,32.4257632108261,41.0581420419053,0.434361114534214,27.9388109496816,0.470672562174743,0.0363114476405288,503.495934606689,101.094186779227,3.61841407500485,5.80393325520863,7.0033596994792,18.3181293926577,26.9008414902832,23.9855978870284,29.1099575235049,26.6471780407906,1.10028158116436,1.10470849064712,0.35006480995713,0.242888323628518,79.2226476166647,11.8718672788532,10.4198588132289,8.33588705058315,7.85513136114606,28.3250780343744,6.6923846356511,0.88845138044247,0,1.22934635633031,5.58087048847815,5,0,0,0,-0.00699186921337835,0.00699186921337835,-2,2,39,1,root_seeded_fmincon,1,0.513887146537351,16.9049223145978,53,12,1,5.96096160307031,6.25901184886501,4,59.8281861,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
11,ExternalVerification,56.1448230058928,25.244499827518,38.5452212711605,0.535721247079148,30.077974597755,0.535721247079149,4.44089209850063e-16,499.999999999999,102.613044922046,3.41156764357747,6.76476619872153,7.44977961560629,19.7206757131884,31.6244133936588,19.7513947875322,33.7997630305249,21.8843766964193,1.15585890435592,1.12764215319999,0.302918058938801,0.186277381624231,84.9939885151632,11.2289646011786,8.65361406490942,6.92289125192754,6.51671210203447,30.4146596361254,7.18061947171532,0.415853272993795,0,1.29162157656698,5.56002548579506,5,1,1,1,1.4432899320127e-15,0,1,3,12,1,root_seeded_fmincon,1,0.543309220100282,19.7206757131884,28,3,1,6.67845553957942,7.46986042172186,2,19.155092,,
12,ExternalVerification,62.6889664433734,30.2388143307491,41.3991774753353,0.453193076385319,29.8590137152568,0.476304131481068,0.0231110550957486,502.18939247777,99.4937210870618,3.33211679514466,6.77290967545302,6.79036845594154,19.5771136344458,34.6111446717419,16.0101090406834,37.2435075027096,17.8322966670289,1.13277307547597,1.07738773880375,0.360961141029196,0.24710314034819,80.769496985922,12.5377932886747,9.92920539317502,7.94336431454001,8.20748818202916,30.253779532418,6.48175768306127,0,0.291151992391742,1.20245624607046,5.58989139062272,5,0,0,0,-0.0313175457977028,0.0313175457977028,-2,2,38,1,root_seeded_fmincon,1,0.486592804613457,18.6272000772938,33,6,1,5.97290967545302,6.98105854670784,2,55.8803106,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
13,ExternalVerification,57.8924873259976,36.7667390019492,40.3162406340521,0.406709929080076,25.5223916689282,0.440858440322479,0.0341485112424031,503.570673449852,99.3133993909198,3.89122620948676,4.92753656166467,6.65248545594311,16.7337999402886,20.7778164679546,28.8911164562636,22.7122357851027,32.0942135521559,1.06919145751789,1.10392077288575,0.350742974074593,0.255197269193348,73.5441730320196,11.5784974651995,11.159909413508,8.92792753080641,8.09252391426736,25.9057779925085,6.34026656766525,1.41273000600057,0,1.18438427751962,5.59596087101219,5,0,0,0,-0.00714134689970436,0.00714134689970436,-2,2,39,1,root_seeded_fmincon,1,0.526907745874337,15.4376143552489,47,9,1,4.35804935964522,6.58990519698491,3,53.8007764,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
14,ExternalVerification,60.5224703268973,40.8857489682532,39.1969481103581,0.498648543486848,30.1794416766573,0.498648543485593,-1.25505161818751e-12,469.174085724397,96.2830967828243,3.19035381152514,5.77057017016144,6.55805535004455,19.7872027777717,35.0000000000058,21.952519319302,38.3626108364892,25.1418314146022,1.10152265569758,1.08100598471857,0.316991539127416,0.210333961856104,79.9716115218128,12.1044940653795,9.75756159033159,7.80604927226528,7.58575716255999,30.5369577769095,6.29223477231641,0.521664602154967,0,1.17824790785773,5.59802302190535,5,1,1,1,-1.65860975747429e-13,1.65860975747429e-13,1,3,12,1,root_seeded_fmincon,1,0.504011152142999,19.7872027778215,52,12,1,5.09302817867103,6.94591080442303,4,46.9848339,,
15,ExternalVerification,56.5485510623711,33.2304585618162,40.1755552224634,0.400599409665935,25.280351957607,0.447055697850219,0.0464562881842838,506.438933636638,104.575121880703,4.1366165335066,4.88550409262955,6.95247936579881,16.5751061877833,18.5908083528263,30.2190693580187,20.209507626643,33.2757162629453,1.06969671363198,1.12098434838138,0.350518655779935,0.253016905559813,74.1201601046654,11.3097102124742,11.0991329707466,8.8793063765973,7.81704977619101,25.662384767008,6.63321208056306,1.74770798793351,0,1.22179345257759,5.58340305585003,5,0,0,0,-0.012877867273275,0.012877867273275,-2,2,40,1,root_seeded_fmincon,1,0.539430267034697,14.8526856628965,49,9,1,4.34822284759192,6.69153213600636,3,48.343052,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
16,ExternalVerification,61.8462050732648,35.3022365834376,40.2925533989267,0.482210463731365,29.8228872284039,0.482210463731362,-3.5527136788005e-15,487.025645595675,94.1839653204085,3.15811023255675,6.26939526077804,6.59346914932183,19.5534272412824,35,17.8095816942427,37.9692690329266,20.0822083968056,1.11682192969992,1.07527198165811,0.340607809805656,0.231684221974348,79.5334765326946,12.369241014653,9.8540661868631,7.88325294949048,8.00582946121521,30.2007588480841,6.3058621803739,0.0364669195958527,0,1.17998897400562,5.59743786557311,5,1,1,1,8.12048840868686e-16,0,1,3,12,1,root_seeded_fmincon,1,0.493223472060478,19.5534272412825,43,9,1,5.93365001253083,6.79684357566744,3,31.4064929,,
