DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,Qp_train_m3h,Recovery_actual,Recovery_error,Cp_mg_L,W_RO_train_kW,SEC_kWh_m3,P1_opt_gauge_MPa,P2_opt_gauge_MPa,Javg_LMH,Jfirst_stage1_LMH,Jfirst_stage2_LMH,Jmax_local_stage1_LMH,Jmax_local_stage2_LMH,CPFmax_stage1,CPFmax_stage2,dP_stage1_MPa,dP_stage2_MPa,Cb_max_kg_m3,Qf_PV_stage1_m3h,Qf_PV_stage2_m3h,Qb_PV_stage1_m3h,Qb_PV_stage2_m3h,Qhpp_m3h,PXout_gauge_MPa,PX_excess_pressure_MPa,PX_booster_deltaP_MPa,PX_leakage_pct,PX_mix_pct,PX_iterations,PhysicalFeasible,RecoveryTargetMet,DatasetValid,FeasibilityMarginScaled,MaxConstraintViolationScaled,ExitFlag,FminconIterations,FminconFunctionCount,LocalStartsAttempted,OptimizerMethod,AnalyticScreenPassed,AnalyticRmax,AnalyticJavgTarget_LMH,RootEvalCountCoarse,RootEvalCountFinal,HybridSeedRankUsed,HybridSeedP1_N30_MPa,HybridSeedP2_N30_MPa,HybridN150SeedTrials,Runtime_s,FailureReason,ErrorMessage
1,LowTemperatureChallenge,56.9145035339759,26.1471175269828,38.6782291314201,0.512221378497661,29.1528254566831,0.512221378497661,-2.22044604925031e-16,500,96.8789552973318,3.32314119745546,6.5685390851242,7.11340636232215,19.1141000896165,30.7633992227369,18.8069541723901,32.9052600112169,20.7894893089564,1.14508674614954,1.1130607411921,0.313838385243985,0.201509020926378,81.1051923551767,11.3829007067952,8.99231941463504,7.19385553170803,6.94041951932319,29.4993169871506,6.83929181273357,0.270752727609367,0,1.2480928908648,5.57458872140073,5,1,1,1,-2.22044604925031e-16,2.22044604925031e-16,1,4,15,1,root_seeded_fmincon,1,0.535961804213758,19.1141000896165,25,3,1,5.87273281260693,7.62945050642708,2,30.8244099,,
2,LowTemperatureChallenge,57.7466462951639,26.4707049823681,41.4553137593998,0.518526838799834,29.9431859547236,0.518526838799835,9.99200722162641e-16,499.999999999998,122.858937920693,4.10306832768115,6.15814441787451,8.19629418990261,19.6323013078439,25.49617115349,28.9026233558242,27.3466003428743,31.8383433980636,1.11653558447491,1.158293938553,0.347359544562585,0.223067303695874,88.1070952360808,11.5493292590328,10.0888194453099,8.07105555624794,6.9508650851101,30.3267306554242,7.87051716158314,1.71237274370863,0,1.37948548851239,5.53072614842778,5,1,1,1,3.10862446895044e-15,0,1,4,15,1,root_seeded_fmincon,1,0.528238468500544,19.6323013078439,27,14,2,6.74941614727149,7.68505373153854,2,40.9610891,,
3,LowTemperatureChallenge,54.0443550894682,26.8592552992411,40.0880693864501,0.541237622502815,29.2508382027751,0.541237621475019,-1.02779584842949e-09,503.610893533385,120.862735221558,4.13194091682784,5.82615524995527,8.3,19.1783623149588,23.6440805694563,31.0631046248778,25.3989795442804,34.3780444838207,1.11296357651789,1.17927651689586,0.310311717775997,0.1916405255191,89.4798015737507,10.8088710178936,9.50244681746105,7.60195745396884,6.19837922167328,29.5970089805103,8.00201400450761,2.17585875455234,0,1.39621490294074,5.52516221090702,5,0,1,0,-0.00722178706677057,0.00722178706677057,-2,3,10,1,root_seeded_fmincon,1,0.557675202386033,19.178362351378,23,6,1,5.92438023107018,8.17416847915588,2,29.4474319,Product_salinity_max,
4,LowTemperatureChallenge,48.3432121928897,26.999033799415,38.5432735816712,0.490253628093201,23.7004369464315,0.490253664813721,3.67205206242005e-08,503.186018968699,135.45065905173,5.71511231450628,3.76296193247042,8.3,15.5392321967162,7.01605643407032,42.9944138076314,7.64773063264495,46.5734418318711,1.035464979464,1.21454384365047,0.315321379407589,0.216710211606724,77.2372242681096,9.66864243857793,10.9327833232379,8.74622665859031,6.16069381161452,24.0437382270608,7.97761544789441,4.21465351542399,0,1.39311127580309,5.52619407276655,5,0,1,0,-0.00637203793739705,0.00637203793739705,-2,3,11,1,root_seeded_fmincon,1,0.574935490707584,15.5392310328112,47,9,1,4.2466194557579,7.8528244060177,3,37.4254304,Product_salinity_max,
5,LowTemperatureChallenge,61.0675974768243,26.7381613716983,40.3409324652334,0.492812718086538,30.0948886995683,0.492812718086537,-4.44089209850063e-16,498.915666674446,101.087510161367,3.35895942897495,6.9651185287919,6.97687834692035,19.7317654730975,33.7902180956041,16.2882716634572,36.1514291917937,18.0092869455402,1.14759129935866,1.09068216177239,0.350000000000007,0.23223887055426,81.3125303424007,12.2135194953649,9.52866763469036,7.62293410775229,7.74317719431399,30.4750435046449,6.6770284048233,0,0.288090123968598,1.22738636717412,5.58152760119506,5,1,1,1,-1.93496012863242e-14,1.93496012863242e-14,1,4,15,1,root_seeded_fmincon,1,0.499512036830605,19.7317654730975,23,6,1,6.72238563160444,7.13140799148645,2,34.133498,,
6,LowTemperatureChallenge,57.5138803209854,20.1899975816744,39.5429034184385,0.525305053256381,30.2123319649963,0.525305053256381,0,500,115.231271673154,3.81404758185033,7.00206551952519,8.13176941778017,19.8087673518203,28.0836073476458,22.4628074097224,29.754874335666,24.4458360833232,1.15782462797169,1.15797890118382,0.34207824796791,0.215114746544701,85.2422755431101,11.5027760641971,9.37248609125514,7.49798887300411,6.82538708899726,30.5870407604869,7.81548027022819,0.813414750702997,0,1.37248184829895,5.53305684415125,5,1,1,1,-6.66133814775094e-16,6.66133814775094e-16,1,5,25,1,root_seeded_fmincon,1,0.530376316634471,19.8087673518203,12,3,1,7.50102640747837,7.64225256152119,1,38.1267327,,
7,LowTemperatureChallenge,51.7019859615466,25.937890188029,39.1331297283955,0.54324481384349,28.0868259555111,0.543244624614626,-1.89228863356483e-07,508.396277862213,118.315420526267,4.21248811502147,5.53222904063321,8.3,18.4151756854911,21.1259298014792,31.9622388346917,22.670986693127,35.2747917514024,1.1074085826406,1.19324314220706,0.294939340226912,0.181902592869157,87.7183876856889,10.3403971923093,9.31758279382767,7.45406623506214,5.90379000150888,28.4168290328617,8.01149166145061,2.4792626208174,0,1.3974204590028,5.52476144373052,5,0,1,0,-0.0167925557244251,0.0167925557244251,-2,3,15,1,root_seeded_fmincon,1,0.568344919235805,18.415182100065,27,6,1,5.88931823540718,7.96985059347008,2,22.7282314,Product_salinity_max,
8,LowTemperatureChallenge,61.4005569364409,26.7845516344341,39.2984216204019,0.482991923311428,29.6558727350774,0.482990288928092,-1.63438333633525e-06,491.86282535924,98.6460677936591,3.32635861621361,6.93902815489356,6.58901916194524,19.4439239018341,34.4596668718411,13.9764582884534,36.8229933181742,15.4410056620517,1.14939963951074,1.07734647431727,0.350140150252146,0.23567387537087,77.6743738000405,12.2801113872882,9.476424902033,7.5811399216264,7.93617105034089,30.0301248312873,6.29768420769765,0,0.641343947195907,1.17894414647791,5.59778901639284,5,0,1,0,-0.000400429291844378,0.000400429291844378,-2,2,20,1,root_seeded_fmincon,1,0.496803311272508,19.4439896978262,35,9,1,6.69702270424682,6.74933298295189,3,34.0747928,Stage1_dP_max,
9,LowTemperatureChallenge,53.5238538874097,25.7765359784167,38.5114384937229,0.452820449786036,24.3947314071336,0.455773073785929,0.00295262399989255,500.00005450847,117.927797838202,4.83415028720984,4.55639221142076,7.59749011683186,15.9944475525398,13.4813446210744,33.152718448835,14.496971573714,35.824887469508,1.06538076959528,1.16648567964191,0.350000008823895,0.251060095829427,72.1919578921159,10.7047707774819,11.0683197673649,8.85465581389194,7.28228062006902,24.7739599678709,7.26116719977416,2.7047749883534,0,1.3018880366001,5.5565953124367,5,1,0,0,-1.09016939697781e-07,1.09016939697781e-07,-2,3,11,1,root_seeded_fmincon,1,0.569914118369855,15.8908310985962,42,9,1,4.24426114333068,7.78897606606895,3,24.8144744,Recovery_target_mismatch,
10,LowTemperatureChallenge,56.7173721457679,26.5255260435385,39.7859897127096,0.482356264301249,27.357979749216,0.482356264301243,-5.38458166943201e-15,500.000000000005,108.576454390825,3.96873070987401,5.66527012005593,7.48245846964961,17.9373064183163,22.5105256332828,26.7105322881544,24.1256181323122,29.2110608951705,1.10340480297338,1.14042942479615,0.346852551215386,0.236547122883189,78.5200061717833,11.3434744291536,10.3108942084682,8.24871536677453,7.33984809913799,27.7365526214515,7.16353560363449,1.49826548357856,0,1.28944382472968,5.56075333194663,5,1,1,1,-1.02140518265514e-14,1.02140518265514e-14,1,3,12,1,root_seeded_fmincon,1,0.537824635485622,17.9373064183165,37,9,1,5.91328501270115,7.23019364356377,3,27.78986,,
