Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
47.5,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.6,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.15,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.7,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.25,20,38.5,35,8,0.53,29.2825,113.814489938691,3.88677503419076,500,6.63764700006607,8.1513505867648,0.901213183808845
56.8,20,38.5,35,9,0.53,30.104,107.483115596967,3.57039315695479,500,7.19761350540188,7.80337315168082,0.945381788865097
58.35,20,38.5,35,11,0.495,28.88325,98.8385300537698,3.42200168103554,497.580252744997,7.02999868864018,7.32241338875514,0.829057272228715
59.9,20,38.5,35,8,0.525,31.4475,111.117948999249,3.53344300816437,480.730622691468,7.48143881060556,7.66826100847703,0.852648946015762
61.45,20,38.5,35,6,0.55,33.7975,121.64335815154,3.59918213333944,472.441839448611,8.37028672553864,7.936170983112,0.865505209136969
63,20,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.5,20.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,20.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.6,20.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.15,20.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.7,20.5,38.5,35,5,0.525,28.1925,119.964813663397,4.25520310945807,500,5.98688932169156,8.41013457729897,0.84405686319715
55.25,20.5,38.5,35,9,0.53,29.2825,112.612364046381,3.84572232720503,500,6.61393419281648,8.08318534024989,0.949183026037247
56.8,20.5,38.5,35,10,0.53,30.104,106.537204163398,3.538971703541,500,7.16615585699197,7.74172159162715,0.970280136578079
58.35,20.5,38.5,35,12,0.495,28.88325,98.3258929572763,3.40425308638316,496.974383073448,6.97645805502963,7.27378561746526,0.962811139726323
59.9,20.5,38.5,35,9,0.52,31.148,109.155759588956,3.50442274267869,481.682919090061,7.3853082299958,7.5582571290455,0.865554947120346
