case_id,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,InTrainingDomain,P_feasible,ClassifierFeasible,Feasible,Qp_train_m3h,W_RO_train_kW,SEC_kWh_m3,Cp_mg_L,P1_opt_gauge_MPa,P2_opt_gauge_MPa,P_CpBoundary
555,53.7,45,38.5,0.4,1,0.804780884710264,1,1,21.48,103.830415771198,4.83381823888259,500,3.47406156026815,6.1518427658669,0.999998713895376
556,55.25,45,38.5,0.4,1,0.862176935933549,1,1,22.1,97.9286626411693,4.43116120548277,500,3.7597104107045,6.04079229688248,0.999998067441964
6672,55.25,42.5,38.5,0.405,1,0.808740977193486,1,1,22.37625,98.8079616523011,4.41575159610306,500,3.86864202614185,6.15834287269884,0.999998567316287
6682,53.7,43,38.5,0.405,1,0.809989999774623,1,1,21.7485,104.589309765282,4.80903555487884,500,3.56527971485362,6.25869641909587,0.99999909415967
6683,55.25,43,38.5,0.405,1,0.949750829730997,1,1,22.37625,98.2540158967042,4.39099562691265,500,3.86479575316353,6.1328039863075,0.999998493380493
6693,53.7,43.5,38.5,0.405,1,0.935949334168469,1,1,21.7485,103.964123560277,4.78028937905038,500,3.56336959829849,6.23129842565684,0.999999017357006
6694,55.25,43.5,38.5,0.405,1,0.984702370203884,1,1,22.37625,97.7129644570414,4.36681590780588,500,3.86088848927733,6.10798603410082,0.999998398700633
6695,56.8,43.5,38.5,0.405,1,0.907240535731456,1,1,23.004,91.2721808458068,3.96766566013766,500,4.17104083219833,5.95701324262772,0.999996728983606
6704,53.7,44,38.5,0.405,1,0.976206228915696,1,1,21.7485,103.355233786923,4.75229251612399,500,3.56141074562279,6.20471058938351,0.999998924354992
6705,55.25,44,38.5,0.405,1,0.994064964795347,1,1,22.37625,97.1846078467046,4.34320352367821,500,3.85694508572052,6.08385629776484,0.999998282562816
6706,56.8,44,38.5,0.405,1,0.969137902079378,1,1,23.004,90.8446749568109,3.94908167956924,500,4.16464008607551,5.93605545657039,0.999996615698916
6715,53.7,44.5,38.5,0.405,1,0.989481244974548,1,1,21.7485,102.761904482992,4.72501112642215,500,3.55942045285711,6.17890831654988,0.999998813641819
6716,55.25,44.5,38.5,0.405,1,0.997110028829178,1,1,22.37625,96.6688714627226,4.32015514050489,500,3.85299398086978,6.06037748938628,0.999998144744731
6717,56.8,44.5,38.5,0.405,1,0.987418743571556,1,1,23.004,90.4269385764583,3.93092238638751,500,4.15829435813764,5.91569124970535,0.99999647023381
6726,53.7,45,38.5,0.405,1,0.994466614884758,1,1,21.7485,102.183453657099,4.6984138518564,500,3.55741880468775,6.15386108909342,0.999998684257737
6727,55.25,45,38.5,0.405,1,0.99830574834046,1,1,22.37625,96.1657480552246,4.29767043428745,500,3.84906777121481,6.03750936875946,0.999997985762532
6728,56.8,45,38.5,0.405,1,0.993733951634331,1,1,23.004,90.0193219398805,3.91320300555905,500,4.15205189824166,5.89588885251779,0.999996296065229
6729,58.35,45,38.5,0.405,1,0.901691465644829,1,1,23.63175,84.0223036228237,3.55548377174029,500,4.45785157997136,5.75717696524637,0.999982679375554
7266,55.25,44,38.8,0.405,1,0.884991576639926,1,1,22.37625,100.363577068508,4.48527242359678,500,3.80404643972686,6.16675189719934,0.999999000698636
7277,55.25,44.5,38.8,0.405,1,0.962378368112906,1,1,22.37625,99.8180380897719,4.46089215528839,500,3.8006345940682,6.14210065395167,0.999998940161254
7278,56.8,44.5,38.8,0.405,1,0.895933591360424,1,1,23.004,93.5081605859293,4.06486526629844,500,4.10256700513692,5.99963140017912,0.999998526293421
7287,53.7,45,38.8,0.405,1,0.906158178972071,1,1,21.7485,105.188216840635,4.83657341152883,500,3.51245806010314,6.22739062804411,0.999999123769805
7288,55.25,45,38.8,0.405,1,0.985009304139634,1,1,22.37625,99.2858960968041,4.43711060149954,500,3.79728035227703,6.11810284145125,0.999998864760664
7289,56.8,45,38.8,0.405,1,0.958087132218667,1,1,23.004,93.0665192561819,4.04566680821518,500,4.09702402822505,5.97811918238354,0.999998444352086
12799,55.25,40.5,38.5,0.41,1,0.847709255544992,1,1,22.6525,99.2680836164094,4.38221316041979,500,3.97756320857692,6.25772251930118,0.999998735969532
12809,53.7,41,38.5,0.41,1,0.801793272631393,1,1,22.017,105.456644427915,4.78978264195463,500,3.65979129297679,6.37361121501455,0.99999929927258
12810,55.25,41,38.5,0.41,1,0.970868280565699,1,1,22.6525,98.6825935445566,4.3563665619493,500,3.97345000606086,6.23005198932388,0.999998719528735
12820,53.7,41.5,38.5,0.41,1,0.941912255738419,1,1,22.017,104.783235912633,4.75919679850267,500,3.65779711025856,6.34359203688418,0.999999265102694
12821,55.25,41.5,38.5,0.41,1,0.993120327173164,1,1,22.6525,98.1112871091339,4.33114610348235,500,3.96922116493592,6.20314435568447,0.99999868586241
12822,56.8,41.5,38.5,0.41,1,0.922868021628,1,1,23.288,91.3740231614551,3.92365266066022,500,4.29231036350945,6.03781362269839,0.999996696790812
12831,53.7,42,38.5,0.41,1,0.98172233051175,1,1,22.017,104.128233879372,4.72944696731489,500,3.65570581111242,6.31439006443671,0.999999221124998
12832,55.25,42,38.5,0.41,1,0.997778585443659,1,1,22.6525,97.5535459204697,4.3065244860598,500,3.96489419631279,6.176990485511,0.99999863422093
12833,56.8,42,38.5,0.41,1,0.980812344766726,1,1,23.288,90.9288028072467,3.90453464476325,500,4.28532291315379,6.01515799503143,0.99999670051778
12842,53.7,42.5,38.5,0.41,1,0.993078502881641,1,1,22.017,103.490767251158,4.70049358455547,500,3.65352906040442,6.28600273936581,0.999999165713923
12843,55.25,42.5,38.5,0.41,1,0.999046179527788,1,1,22.6525,97.0090143471193,4.28248601024696,500,3.96048869853443,6.1515732809961,0.999998563569307
12844,56.8,42.5,38.5,0.41,1,0.993913241228293,1,1,23.288,90.4931769150108,3.88582862053465,500,4.27829100804062,5.99318097386225,0.999996660917406
12853,53.7,43,38.5,0.41,1,0.99679810080776,1,1,22.017,102.870031380474,4.67230010357789,500,3.65128019051358,6.25842184601796,0.999999097065091
12854,55.25,43,38.5,0.41,1,0.999484646117174,1,1,22.6525,96.4775360360736,4.25902377380305,500,3.95602687601725,6.12686861052047,0.999998472777736
12855,56.8,43,38.5,0.41,1,0.997520092144415,1,1,23.288,90.0673376018018,3.86754283759025,500,4.27124851216716,5.97185045055152,0.999996580441166
12856,58.35,43,38.5,0.41,1,0.888798911874208,1,1,23.9235,83.895902570981,3.50684066173348,500,4.58933881795219,5.81803059426062,0.999976882854407
12864,53.7,43.5,38.5,0.41,1,0.998225321697008,1,1,22.017,102.265317542867,4.64483433450819,500,3.64897458118654,6.2316334227861,0.999999013341225
12865,55.25,43.5,38.5,0.41,1,0.99966786692585,1,1,22.6525,95.9590831135341,4.23613654623261,500,3.95153410447989,6.10284652675758,0.999998360863411
12866,56.8,43.5,38.5,0.41,1,0.998751261365758,1,1,23.288,89.6515921768651,3.84969049196432,500,4.26423361489517,5.95113346281804,0.999996461483742
12867,58.35,43.5,38.5,0.41,1,0.95283043325685,1,1,23.9235,83.579706781974,3.49362370815198,500,4.57930742374348,5.80075232628745,0.999976289214394
12874,52.15,44,38.5,0.41,1,0.823222115775754,1,1,21.3815,107.039566245482,5.0061766595179,500,3.3714415804459,6.30276328889573,0.999999307810127
12875,53.7,44,38.5,0.41,1,0.998856006864448,1,1,22.017,101.676012065703,4.61806840467379,500,3.64663007947231,6.20561792845784,0.9999989128824
12876,55.25,44,38.5,0.41,1,0.999755607679378,1,1,22.6525,95.4536901514448,4.21382585372232,500,3.94703953950242,6.07947261421393,0.999998227263749
12877,56.8,44,38.5,0.41,1,0.999256163124475,1,1,23.288,89.2462673930944,3.83228561461244,500,4.25728962293718,5.93099707337885,0.999996306735198
12878,58.35,44,38.5,0.41,1,0.977297446973465,1,1,23.9235,83.2693389778038,3.48065036377636,500,4.5694189930741,5.78397558449503,0.999975481559501
12885,52.15,44.5,38.5,0.41,1,0.904087530093456,1,1,21.3815,106.409777428475,4.97672181224308,500,3.3705195510287,6.27533995275243,0.99999923768444
12886,53.7,44.5,38.5,0.41,1,0.999168045270002,1,1,22.017,101.101578507899,4.59197794921648,500,3.64426745936043,6.18035058278369,0.999998794460564
12887,55.25,44.5,38.5,0.41,1,0.999801446316683,1,1,22.6525,94.9614002681084,4.19209359973991,500,3.94257675946614,6.05670934390315,0.999998072100903
12888,56.8,44.5,38.5,0.41,1,0.999495572280804,1,1,23.288,88.8516347691882,3.81533986470235,500,4.25046572651764,5.91140912320125,0.99999611945544
12889,58.35,44.5,38.5,0.41,1,0.987550106091442,1,1,23.9235,82.9646515091508,3.46791445687925,500,4.55973329424592,5.76764980803434,0.999974476574547
12890,59.9,44.5,38.5,0.41,1,0.869896488245393,1,1,24.559,77.5088180257157,3.15602500206505,500,4.88106858240316,5.59848806013193,0.994733897416979
12896,52.15,45,38.5,0.41,1,0.946456004078698,1,1,21.3815,105.794320785666,4.94793727220569,500,3.36956889496169,6.24869163423061,0.999999153952662
12897,53.7,45,38.5,0.41,1,0.99933580017686,1,1,22.017,100.541534072281,4.56654103975479,500,3.64191091840889,6.15580182190104,0.999998657533851
12898,55.25,45,38.5,0.41,1,0.99982630378505,1,1,22.6525,94.482226375858,4.17094035430341,500,3.93818442528374,6.03451734907738,0.999997896385525
12899,56.8,45,38.5,0.41,1,0.99962228836143,1,1,23.288,88.4678593269215,3.79886032836317,500,4.24381768091412,5.89233885474692,0.999995903636699
12900,58.35,45,38.5,0.41,1,0.992347031255608,1,1,23.9235,82.665611887444,3.45541462944151,500,4.5503171215256,5.75173119350873,0.999973292045574
12901,59.9,45,38.5,0.41,1,0.922866675122594,1,1,24.559,77.3053040000337,3.14773826295996,500,4.87020721228516,5.58257917006629,0.992979986341732
12902,61.45,45,38.5,0.41,1,0.844872378455787,1,1,25.1945,72.7430217053928,2.88725800096818,499.151371393251,5.12218817023246,5.46781130416464,0.000492165677512075
13393,55.25,42,38.8,0.41,1,0.944429153425492,1,1,22.6525,100.843004680334,4.45173842535411,500,3.9102425756438,6.26577536456674,0.999999139207567
13404,55.25,42.5,38.8,0.41,1,0.985979009598118,1,1,22.6525,100.264278378334,4.4261904151124,500,3.90629799510123,6.23906662346879,0.999999112515773
13405,56.8,42.5,38.8,0.41,1,0.92278807609057,1,1,23.288,93.6562038718967,4.02165080178189,500,4.22109927434427,6.08369562886714,0.9999986322156
13414,53.7,43,38.8,0.41,1,0.929679094943904,1,1,22.017,106.033277606331,4.81597300296728,500,3.60342932399411,6.33787199287258,0.999999325693247
13415,55.25,43,38.8,0.41,1,0.995241089016917,1,1,22.6525,99.6996679524901,4.40126555358084,500,3.90230605339658,6.21310220936058,0.999999077054969
13416,56.8,43,38.8,0.41,1,0.976477714665102,1,1,23.288,93.1937120568541,4.00179113950765,500,4.21463731164332,6.0607030246133,0.999998610143191
13425,53.7,43.5,38.8,0.41,1,0.974369943906839,1,1,22.017,105.399251957325,4.7871759075862,500,3.60144205923216,6.30999921092349,0.99999928568645
13426,55.25,43.5,38.8,0.41,1,0.997878295164058,1,1,22.6525,99.149021088171,4.37695711679377,500,3.89829576517288,6.1878576225809,0.999999031320213
13427,56.8,43.5,38.8,0.41,1,0.990937945847295,1,1,23.288,92.7419405255012,3.98239181232829,500,4.20820682427997,6.03833036371855,0.999998570083131
13428,58.35,43.5,38.8,0.41,1,0.812197028427472,1,1,23.9235,86.5499022949218,3.61777759503926,500,4.52316584246499,5.88580487530722,0.999996060752221
13436,53.7,44,38.8,0.41,1,0.988886429991924,1,1,22.017,104.781201361729,4.75910439032244,500,3.59943513454199,6.28292200697695,0.999999236844866
13437,55.25,44,38.8,0.41,1,0.998826303474385,1,1,22.6525,98.612239407656,4.35326076184333,500,3.89429917446248,6.16330224275556,0.999998973467861
13438,56.8,44,38.8,0.41,1,0.995659028218463,1,1,23.288,92.3013236259583,3.96347147139979,500,4.201854848695,6.0165468179177,0.999998510674372
13439,58.35,44,38.8,0.41,1,0.916481473853054,1,1,23.9235,86.2125454965255,3.6036761132997,500,4.51403752816517,5.86778181605392,0.999995993234273
13447,53.7,44.5,38.8,0.41,1,0.994262091399528,1,1,22.017,104.178402726652,4.73172560869563,500,3.59743157062264,6.25662204211525,0.999999177162878
13448,55.25,44.5,38.8,0.41,1,0.999236430440043,1,1,22.6525,98.0892368599282,4.3301726899869,500,3.89035166922462,6.1394005586194,0.999998901367724
13449,56.8,44.5,38.8,0.41,1,0.997525369079972,1,1,23.288,91.8722465411776,3.94504665669777,500,4.19563282720293,5.99532036524536,0.99999843013719
13450,58.35,44.5,38.8,0.41,1,0.958768557731629,1,1,23.9235,85.8805219375384,3.58979756045472,500,4.50512030919854,5.85030682427894,0.999995858623916
13458,53.7,45,38.8,0.41,1,0.996558088912103,1,1,22.017,103.590181484376,4.70500892421204,500,3.59545683069979,6.23107608200393,0.999999104379111
13459,55.25,45,38.8,0.41,1,0.999439862897979,1,1,22.6525,97.5799096483005,4.30768831909504,500,3.88649229212154,6.11611342688884,0.999998812719135
13460,56.8,45,38.8,0.41,1,0.998388976760951,1,1,23.288,91.4550029024173,3.92712997691589,500,4.18959694416621,5.97461897391024,0.999998326467324
13461,58.35,45,38.8,0.41,1,0.976936917542674,1,1,23.9235,85.5538217771271,3.5761415251584,500,4.49648799824432,5.83334234975055,0.999995653950007
13462,59.9,45,38.8,0.41,1,0.878626811899997,1,1,24.559,80.0052387387319,3.25767493540991,500,4.80355188816565,5.67466795153184,0.999825546721963
13976,55.25,43,39.1,0.41,1,0.814366896398059,1,1,22.6525,102.941597086529,4.54438128623899,500,3.8491344884475,6.29817981442664,0.999999268643013
13987,55.25,43.5,39.1,0.41,1,0.948890171424934,1,1,22.6525,102.358906763057,4.51865828332664,500,3.84590019802421,6.27179213475444,0.999999249239351
13988,56.8,43.5,39.1,0.41,1,0.883094909899686,1,1,23.288,95.8838755198881,4.11730829267812,500,4.15200888640629,6.12705017390609,0.999999077063369
13998,55.25,44,39.1,0.41,1,0.982851632706366,1,1,22.6525,101.790886059686,4.49358287428257,500,3.8427022658163,6.24613952950152,0.999999225516679
13999,56.8,44,39.1,0.41,1,0.958293455400091,1,1,23.288,95.4092124536481,4.0969259899368,500,4.14657664421793,6.10390566442656,0.999999058018462
14008,53.7,44.5,39.1,0.41,1,0.874672805343924,1,1,22.017,107.210078372022,4.86942264486631,500,3.55287330498021,6.3315159412317,0.999999346187904
14009,55.25,44.5,39.1,0.41,1,0.992631665659282,1,1,22.6525,101.237279309954,4.46914377264999,500,3.83956961059199,6.22119070744905,0.999999196443424
