Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible,dSEC_dT_forward_kWh_m3K,dW_dT_forward_kW_K,dQp_dT_forward_m3h_K
49.05,20,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,20.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,21,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,21.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,22,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,22.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,23,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,23.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,24,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,24.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,25,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,25.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,26,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,26.5,38.8,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,27,38.8,35,4,0.495,24.27975,137.191998113275,5.65046996419958,500,3.88957118767665,8.38365566834565,0.851013183705327,-0.313897527719375,-4.92678134987779,0.490499999999997
49.05,27.5,38.8,35,6,0.5,24.525,134.728607438336,5.49352120033989,500,3.96897373267171,8.33944767110292,0.920475176296593,-0.296350273433568,-4.64609821175117,0.490499999999997
49.05,28,38.8,35,8,0.505,24.77025,132.40555833246,5.3453460636231,500,4.04631011145516,8.29780956154343,0.946498947282985,-0.276824523685059,-4.30301162803642,0.490500000000004
49.05,28.5,38.8,35,9,0.51,25.0155,130.254052518442,5.20693380178057,500,4.1211333342388,8.25948585784526,0.95507407043239,-0.256061818024074,-3.91431253987827,0.490499999999997
49.05,29,38.8,35,10,0.515,25.26075,128.296896248503,5.07890289276854,500,4.19313675729311,8.22518091834511,0.955062733655094,-0.235396943966188,-3.51283258389861,0.490500000000004
49.05,29.5,38.8,35,11,0.52,25.506,126.540479956554,4.96120442078544,500,4.26214021675713,8.19550127788394,0.949393529658087,-0.216065598113111,-3.13048846501505,0.49049999999999
49.05,30,38.8,35,13,0.525,25.75125,124.975235724046,4.85317162172889,500,4.32810309639183,8.17090450964077,0.939020225905807,-0.198121542180514,-2.76998599083768,0.490500000000011
49.05,30.5,38.8,35,14,0.53,25.9965,123.590242728627,4.75411085063863,500,4.39116203125587,8.15161774138409,0.923514957972964,-0.18130422179447,-2.42584869003684,0.49049999999999
49.05,31,38.8,35,15,0.535,26.24175,122.377318383609,4.6634587397414,500,4.45162736621979,8.13743514514364,0.89915223061696,-0.165488214627233,-2.09585982898838,0.490499999999997
49.05,31.5,38.8,35,16,0.54,26.487,121.329388469115,4.58071463242778,500,4.50976697440091,8.1275480585027,0.854389320360527,-0.0762288587402296,-2.01907378145245,0
49.05,32,38.8,35,16,0.54,26.487,120.319851578388,4.54260020305766,500,4.50881173582446,8.07754337806508,0.931260075957103,-0.146329012296256,-1.68355833935681,0.490499999999997
49.05,32.5,38.8,35,17,0.545,26.73225,119.47807240871,4.46943569690954,500,4.56341070914696,8.07320397455987,0.85794011274579,-0.0692617034303176,-1.85152117152509,0
49.05,33,38.8,35,17,0.545,26.73225,118.552311822947,4.43480484519438,500,4.56105813593297,8.02615637431508,0.908081484249802,-0.066720260617835,-1.78358268690116,0
49.05,33.5,38.8,35,17,0.545,26.73225,117.660520479497,4.40144471488546,500,4.55824652033154,7.98052053756269,0.935602255552484,-0.0643015281795076,-1.7189245266766,0
49.05,34,38.8,35,17,0.545,26.73225,116.801058216158,4.36929395079571,500,4.55500517115678,7.93624990727421,0.951758567416008,-0.121568841837984,-1.13648474781891,0.490500000000004
