case_id,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,InTrainingDomain,P_feasible,ClassifierFeasible,Feasible,Qp_train_m3h,W_RO_train_kW,SEC_kWh_m3,Cp_mg_L,P1_opt_gauge_MPa,P2_opt_gauge_MPa,P_CpBoundary,dSEC_dT_forward_kWh_m3K
25247,49.05,20,38.8,0.42,1,1.77153128177604e-07,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999991221641869,NaN
25258,49.05,20.5,38.8,0.42,1,2.40341496279653e-07,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999992431998945,NaN
25269,49.05,21,38.8,0.42,1,3.38218228484623e-07,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999993502644533,NaN
25280,49.05,21.5,38.8,0.42,1,4.89326318196153e-07,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999994444137948,NaN
25291,49.05,22,38.8,0.42,1,7.20136147865027e-07,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999995268339646,NaN
25302,49.05,22.5,38.8,0.42,1,1.06663369274521e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999995987039148,NaN
25313,49.05,23,38.8,0.42,1,1.57525272206934e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999996611032731,NaN
25324,49.05,23.5,38.8,0.42,1,2.30309773947352e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999997149680692,NaN
25335,49.05,24,38.8,0.42,1,3.31807047250147e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999997610912295,NaN
25346,49.05,24.5,38.8,0.42,1,4.70022116154094e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999998001583237,NaN
25357,49.05,25,38.8,0.42,1,6.54590377708847e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999998328024147,NaN
25368,49.05,25.5,38.8,0.42,1,8.97583124400747e-06,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999998596573222,NaN
25379,49.05,26,38.8,0.42,1,1.2147107442602e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999998813901339,NaN
25390,49.05,26.5,38.8,0.42,1,1.62682492922202e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999998987031358,NaN
25401,49.05,27,38.8,0.42,1,2.1615380046733e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999123088377,NaN
25412,49.05,27.5,38.8,0.42,1,2.85470097036857e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999228919708,NaN
25423,49.05,28,38.8,0.42,1,3.75137898853847e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999310740635,NaN
25434,49.05,28.5,38.8,0.42,1,4.90583136614984e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999373905772,NaN
25445,49.05,29,38.8,0.42,1,6.37989999352336e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999422828837,NaN
25456,49.05,29.5,38.8,0.42,1,8.23924646427451e-05,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999461020404,NaN
25467,49.05,30,38.8,0.42,1,0.000105471685966463,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.99999949119534,NaN
25478,49.05,30.5,38.8,0.42,1,0.000133563044057246,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999515407613,NaN
25489,49.05,31,38.8,0.42,1,0.000166992599457532,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999535184614,NaN
25500,49.05,31.5,38.8,0.42,1,0.000205797634069938,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999551646496,NaN
25511,49.05,32,38.8,0.42,1,0.000249659966562894,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999565605213,NaN
25522,49.05,32.5,38.8,0.42,1,0.000297871441058425,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999577643173,NaN
25533,49.05,33,38.8,0.42,1,0.000349331922101907,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999588173844,NaN
25544,49.05,33.5,38.8,0.42,1,0.000402572039977237,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999597487553,NaN
25555,49.05,34,38.8,0.42,1,0.000455792131303533,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999605785644,NaN
25566,49.05,34.5,38.8,0.42,1,0.000506915743327009,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999613205843,NaN
25577,49.05,35,38.8,0.42,1,0.000553665444523394,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999619841122,NaN
25588,49.05,35.5,38.8,0.42,1,0.000593673229806425,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999625753853,NaN
25599,49.05,36,38.8,0.42,1,0.000624633520167715,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999630986519,NaN
25610,49.05,36.5,38.8,0.42,1,0.000644495529574334,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999635569855,NaN
25621,49.05,37,38.8,0.42,1,0.000651679491141566,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999639528923,NaN
25632,49.05,37.5,38.8,0.42,1,0.000645292967097509,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999642887374,NaN
25643,49.05,38,38.8,0.42,1,0.000625319469049382,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999645669993,NaN
25654,49.05,38.5,38.8,0.42,1,0.000592747549838548,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999647903574,NaN
25665,49.05,39,38.8,0.42,1,0.000549600936486714,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999649616166,NaN
25676,49.05,39.5,38.8,0.42,1,0.000498824417659662,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999650834794,NaN
25687,49.05,40,38.8,0.42,1,0.000443992790315789,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999651581798,NaN
25698,49.05,40.5,38.8,0.42,1,0.000388858110381493,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999651869938,NaN
25709,49.05,41,38.8,0.42,1,0.000336826813191509,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999651696398,NaN
25720,49.05,41.5,38.8,0.42,1,0.000290518529129114,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999651035724,NaN
25731,49.05,42,38.8,0.42,1,0.000251547739683635,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.999999649831691,NaN
