T_RO_in_C,n_cases,n_in_domain,n_feasible,feasible_fraction,mean_SEC_kWh_m3,min_SEC_kWh_m3,mean_W_RO_train_kW,mean_Qp_train_m3h,mean_P1_opt_gauge_MPa,mean_P2_opt_gauge_MPa,mean_Cp_mg_L,dMeanSEC_dT_forward_kWh_m3K,dMinSEC_dT_forward_kWh_m3K
20,4235,4235,243,0.0573789846517119,3.75042723394631,3.42200168103554,122.305228252054,32.5822345679012,7.77125008306236,8.0035430113515,488.553130896779,-0.0313977853802374,-0.0354971893047704
20.5,4235,4235,302,0.071310507674144,3.7347283412562,3.40425308638316,121.369304692609,32.4876506622517,7.6972373524766,7.98229040294042,487.339072318361,-0.0290712195485048,-0.0577743312758976
21,4235,4235,365,0.0861865407319953,3.72019273148194,3.37536592074521,120.198211105495,32.3092753424657,7.59595973404576,7.93990049573735,487.350139931927,-0.029050359100995,-0.0631451531045464
21.5,4235,4235,418,0.0987012987012987,3.70566755193145,3.34379334419293,119.135631430778,32.1534276315789,7.49360151223052,7.91084709777899,487.38973405546,-0.000106970295443709,-0.0353194336109883
22,4235,4235,473,0.111688311688312,3.70561406678372,3.32613362738744,118.335306275846,31.9610983086681,7.37483039899062,7.88238608843222,487.479215899187,-0.000537450016335761,-0.0447617417758206
22.5,4235,4235,530,0.125147579693034,3.70534534177556,3.30375275649953,117.414689641429,31.7385363207547,7.25356562803719,7.84794341334831,487.780364469609,-0.0186105931018359,-0.0414053179528082
23,4235,4235,576,0.136009445100354,3.69604004522464,3.28305009752312,116.599493917141,31.6069040798611,7.16022323933239,7.81461300046132,487.673536204674,0.014095899156966,-0.0368182038074876
23.5,4235,4235,641,0.151357733175915,3.70308799480312,3.26464099561938,115.846291368401,31.3791879875195,7.04003046345629,7.77758215046204,487.912740023258,0.023975141369319,-0.0329492397902502
24,4235,4235,697,0.164580873671783,3.71507556548778,3.24816637572426,115.353013357103,31.1783540172166,6.92307334726004,7.75420983146461,488.04316080108,0.00221543517682843,-0.0299235349195621
24.5,4235,4235,763,0.180165289256198,3.71618328307619,3.23320460826447,114.651053710574,30.9991140235911,6.82262282787432,7.72006588082755,488.201383210522,0.0249995775231193,-0.0327274347430517
25,4235,4235,816,0.192680047225502,3.72868307183775,3.21684089089295,114.236466381895,30.8185490196078,6.7202743395922,7.69063875029204,488.161727280109,0.0295128369419109,-0.0360740584733588
25.5,4235,4235,882,0.208264462809917,3.74343949030871,3.19880386165627,113.811942658573,30.6160005668934,6.61072211894468,7.66654617439392,488.359518936662,0.0132685936646064,-0.0333239283586897
26,4235,4235,949,0.224085005903188,3.75007378714101,3.18214189747692,113.38562744817,30.4655795574289,6.52176481225027,7.64198488294071,488.460220459795,0.0292672386115989,-0.031027753828706
26.5,4235,4235,1017,0.240141676505313,3.76470740644681,3.16662802056257,113.099863569319,30.2981310226155,6.42878974660943,7.61696688118879,488.563883566985,0.0132562200983299,-0.0291649103006835
27,4235,4235,1073,0.253364817001181,3.77133551649598,3.15204556541223,112.684570464396,30.1504154240447,6.3436805644223,7.59115917441973,488.567032639787,0.0180035252941213,-0.0276733443043957
27.5,4235,4235,1136,0.268240850059032,3.78033727914304,3.13820889326003,112.365947807381,30.0127832306338,6.26403789966223,7.56627737499605,488.645223439565,0.0169687861348367,-0.0264653562204575
28,4235,4235,1202,0.283825265643447,3.78882167221046,3.1249762151498,112.018244095018,29.8660967138103,6.18355850433763,7.54106917162105,488.749830502025,-0.00185972259696676,-0.0254440755141285
28.5,4235,4235,1261,0.29775678866588,3.78789181091197,3.11225417739274,111.629235829119,29.7751201427439,6.12471005035328,7.51456348673914,488.6922431412,0.0113575854596686,-0.0245174302889017
29,4235,4235,1323,0.312396694214876,3.79357060364181,3.09999546224829,111.282980863233,29.6449699546485,6.05399773144059,7.48907083846436,488.81381708875,0.0184010514083575,-0.0236080635396032
29.5,4235,4235,1395,0.32939787485242,3.80277112934599,3.08819143047849,111.041420087256,29.5237666666667,5.98583882367942,7.46610988711883,488.866408188471,-0.00589127127371913,-0.0226589776080592
30,4235,4235,1451,0.342621015348288,3.79982549370913,3.07686194167446,110.673766078754,29.4481764300483,5.9344503501322,7.44140660356379,488.841587984089,0.0149589128703971,-0.0248048948114032
30.5,4235,4235,1515,0.357733175914994,3.80730495014432,3.06445949426876,110.297599616715,29.3010968646865,5.86535199167107,7.41150240969478,488.955674084491,0.00670594476590125,-0.0235248726345736
31,4235,4235,1577,0.372373081463991,3.81065792252728,3.05269705795147,109.994248665174,29.2013478123019,5.80996946072762,7.38551333253373,488.94396797607,-0.0020652006321189,-0.0222266423311961
31.5,4235,4235,1621,0.382762691853601,3.80962532221122,3.04158373678587,109.681366236817,29.128177051203,5.76288032275511,7.35977371920574,488.879162531427,-0.0142445006755798,-0.020948797323082
32,4235,4235,1684,0.397638724911452,3.80250307187343,3.03110933812433,109.195298480101,29.0482200118765,5.72091513391377,7.32720721705451,488.8787261522,-0.00159498615727394,-0.0196876431325137
32.5,4235,4235,1724,0.407083825265643,3.80170557879479,3.02126551655807,108.886712492496,28.9745234918793,5.67516591967064,7.30287258752273,488.842578076705,0.0059410580965169,-0.0184440234441734
33,4235,4235,1780,0.420306965761511,3.80467610784305,3.01204350483599,108.578288495644,28.8728985955056,5.6241934653854,7.27735555282512,488.927111747695,-0.0144498985265535,-0.0172268850173563
33.5,4235,4235,1820,0.429752066115702,3.79745115857977,3.00343006232731,108.154668539345,28.8133755494505,5.58740981571627,7.24840526335908,488.831253913507,-0.0103549522110695,-0.0160605760574102
34,4235,4235,1858,0.438724911452184,3.79227368247424,2.9953997742986,107.833202502068,28.7648054359526,5.55266441079649,7.22412764974438,488.773218328988,-0.0060133864908174,-0.0149950685628406
34.5,4235,4235,1899,0.44840613931523,3.78926698922883,2.98790224001718,107.507213481689,28.7008312269615,5.5145530775725,7.19831512491113,488.710901163539,-0.0269985801706802,-0.0141155093660119
35,4235,4235,1926,0.454781582054309,3.77576769914349,2.98084448533418,107.028380270794,28.667288032191,5.48922264029099,7.16816651614906,488.574462154244,-0.00867581887587576,-0.0135427589764854
